city,country,Temperature,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind_speed
Saint-Cyr-sur-Loire,FR,4.12,4.43,3.36,85,1036,Clouds,07:34 AM,04:42 PM,3.6
Paris,FR,4.71,5.38,3.49,87,1037,Clouds,07:32 AM,04:31 PM,1.34
Arrondissement de Boulogne-sur-Mer,FR,4.54,5.58,3.32,90,1036,Clouds,07:41 AM,04:26 PM,0.78
Outreau,FR,4.66,5.12,3.71,85,1036,Clouds,07:42 AM,04:27 PM,1.54
Orvault,FR,4.93,4.97,3.34,85,1035,Clouds,07:43 AM,04:52 PM,4.63
Arrondissement de Metz,FR,4.48,5.45,3.47,91,1035,Clouds,07:18 AM,04:15 PM,0.51
Maurepas,FR,3.71,4.57,2.69,91,1036,Clouds,07:34 AM,04:33 PM,0.89
Laon,FR,3.68,3.68,3.68,83,1036,Clouds,07:30 AM,04:23 PM,1.62
La Crau,FR,1.05,3.01,-0.78,93,1028,Clear,07:00 AM,04:33 PM,1.03
La Courneuve,FR,4.74,5.44,3.56,86,1037,Clouds,07:32 AM,04:30 PM,0.89
Gentilly,FR,4.48,5.16,3.27,88,1036,Clouds,07:32 AM,04:31 PM,2.68
Garches,FR,3.88,4.63,2.75,88,1036,Clouds,07:33 AM,04:31 PM,2.68
Croix,FR,4.64,5.25,3.73,82,1035,Clouds,07:36 AM,04:21 PM,0.89
Couëron,FR,4.98,5.05,3.42,85,1035,Clouds,07:43 AM,04:52 PM,4.63
Cernay,FR,-0.43,2.26,-3.22,92,1036,Clouds,07:09 AM,04:15 PM,1.6
Montussan,FR,2.38,2.69,1.91,88,1032,Clear,07:31 AM,04:54 PM,2.78
Saint-Laurent,FR,2.58,3.25,2.11,89,1036,Clouds,07:26 AM,04:18 PM,0.41
Saint-Bris-le-Vineux,FR,3.4,3.64,3.4,97,1036,Clear,07:23 AM,04:29 PM,2.59
Garanou,FR,-1.13,1.53,-4.98,37,1029,Clear,07:16 AM,04:52 PM,2.66
Provence-Alpes-Côte d'Azur Region,FR,-1.9,2.04,-1.9,76,1030,Clear,07:03 AM,04:31 PM,2.79
Var,FR,0.75,6.57,-2.0,93,1028,Clear,07:00 AM,04:31 PM,0.0
Arrondissement de Narbonne,FR,2.44,3.13,-1.69,56,1030,Clear,07:13 AM,04:46 PM,2.92
Carbonne,FR,-0.08,4.1,-1.52,96,1030,Clear,07:20 AM,04:52 PM,0.97
Carbonne,FR,-0.18,4.02,-1.6,96,1030,Clear,07:20 AM,04:52 PM,0.96
Arrondissement de Marseille,FR,-1.42,1.03,-2.9,50,1027,Clear,07:03 AM,04:35 PM,1.71
Saint-Pierre,FR,0.72,4.3,-0.91,77,1028,Clear,07:05 AM,04:37 PM,1.03
Ilharre,FR,-0.45,2.69,-2.01,86,1032,Clear,07:29 AM,05:01 PM,1.13
Les Mées,FR,0.19,0.19,0.19,76,1030,Clear,07:03 AM,04:31 PM,2.7
